event_id,event_timestamp,event_name,event_type,customer_identifier,session_id,attempt_id,channel,device_type,os,network_type,step_name,step_sequence,status,error_code,location_raw,ingestion_timestamp,source_system
0,2026-03-27 23:24:33.910624,phone_entry,progress,+27832679255,S1922,A2681,Mobile App,ios,Android 11,4G,phone_entry,2,fail,,Cape town,2026-03-28 10:44:33.910624,app
1,2026-03-24 17:31:33.910624,personal_details,progress,+27836772098,S1230,A2036,Web,ios,Android 11,4G,personal_details,4,fail,,Durban,2026-03-28 10:44:33.910624,app
2,2026-03-24 19:10:33.910624,kyc_upload,progress,+27837583644,S1558,A891,USSD,ios,Android 11,3G,kyc_upload,5,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
3,2026-03-28 00:48:33.910624,phone_entry,progress,+27834572890,S1866,A4751,Web,Android,ios 26,3G,phone_entry,2,fail,,johannesburg,2026-03-28 10:44:33.910624,app
4,2026-03-23 17:37:33.910624,otp,progress,+27837819870,S1804,A532,Mobile App,Android,Android 11,4G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
5,2026-03-25 05:12:33.910624,otp,progress,+27836019715,S2275,A4418,USSD,ios,ios 26,4G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
6,2026-03-23 14:08:33.910624,account_created,progress,+27832146982,S1854,A2140,USSD,Android,Android 11,3G,account_created,6,success,,Durban,2026-03-28 10:44:33.910624,app
7,2026-03-23 12:03:33.910624,start,progress,+27833912500,S516,A170,Branch,ios,ios 26,4G,start,1,abandon,,Durban,2026-03-28 10:44:33.910624,app
8,2026-03-26 14:11:33.910624,phone_entry,progress,+27831341595,S2842,A2509,USSD,Android,Android 11,3G,phone_entry,2,fail,,johannesburg,2026-03-28 10:44:33.910624,app
9,2026-03-28 06:13:33.910624,otp,progress,+27833445579,S54,A2102,Mobile App,Android,ios 26,4G,otp,3,abandon,,Cape town,2026-03-28 10:44:33.910624,app
10,2026-03-25 21:07:33.910624,otp,progress,+27837159994,S505,A4560,Mobile App,Android,Android 11,3G,otp,3,abandon,,Durban,2026-03-28 10:44:33.910624,app
11,2026-03-25 02:47:33.910624,kyc_upload,progress,+27836866062,S1103,A4645,Web,Android,Android 11,4G,kyc_upload,5,fail,,johannesburg,2026-03-28 10:44:33.910624,app
12,2026-03-27 20:27:33.910624,kyc_upload,progress,+27839533476,S1918,A2278,Branch,Android,Android 11,4G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
13,2026-03-22 06:53:33.910624,personal_details,progress,+27836743680,S318,A1834,USSD,Android,ios 26,3G,personal_details,4,success,,johannesburg,2026-03-28 10:44:33.910624,app
